ID,AADT,Length,NumLane,LWIDTH,FuncDum,Shoulder,SHType,SHWidth,SHMark,Median,MedWidth,Medmark,TERRDUM,curv,SEAL,SPEED,LowSp,MedSp,HiSp,PerHV,LOSDUM,ROUGH,RUTT,Rain,Sun,THUNDER,WIND,Fatal,Major,Minor,Crash
177,2874,7675,2,3.2,1,0,0,2.5,0,1,0,1,0,0.3804,1,90,0,1,0,"162,325",0,"62,125","4,725",50,"2,625",20,16,1,3,0,4
178,12767.75,1441,2,3.4,1,0,0,0.6,0,1,0,0,1,0.4269,1,80,0,1,0,"69,075",1,107,7.5,"33,333","2,625",25,14,0,10,0,10
179,23788.25,1001,4,2.8,0,1,0,0,0,0,4,0,0,0.5255,1,60,0,1,0,0,0,68,5.6,37.5,"2,625",20,14,0,15,2,17
180,8482.75,6615,2,3.4,0,0,0,1.8,0,1,0,1,0,0.6997,1,70,0,1,0,11.63,0,69.5,"4,983",37.5,"2,625",20,14,0,23,3,26
181,17620.75,413,3,3,0,1,0,0,0,0,2.5,0,0,"11,217",1,70,0,1,0,"55,225",0,72,1.5,37.5,"2,625",20,14,0,6,2,8
182,4271,3590,2,2.8,1,0,0,2.1,0,1,0,0,0,0.2279,1,100,0,0,1,"176,975",0,74.5,4.05,37.5,"2,625",20,14,0,1,0,1
183,20189,3758,3,3,0,1,0,0,0,0,4,0,0,"1,083",1,60,0,1,0,5.09,0,67.6,3.2,37.5,"2,625",20,14,0,18,5,23
184,8649.5,103,4,2.6,1,1,0,0,0,0,4,0,0,"27,205",1,60,0,1,0,"15,915",0,103,3.5,37.5,"2,625",20,14,0,3,1,4
185,1675.75,2504,2,3,1,0,0,3.3,0,1,0,1,0,0.3771,1,90,0,1,0,8.78,0,74,4.85,30,"2,667",20,15,0,5,0,5
186,11676.75,956,1,3,0,1,0,0,0,1,0,1,0,"11,982",0,20,1,0,0,"105,675",0,0,0,40,"2,667",20,15,0,2,1,3
187,2584.5,638,1,2.8,0,1,0,0,0,1,0,1,0,0.4956,0,20,1,0,0,"119,175",0,0,0,40,"2,667",25,15,0,1,1,2
188,16520.75,1668,2,3.4,0,1,0,0,0,1,0,0,0,0.9251,1,60,0,1,0,5.29,1,103,4.8,0,"2,667",25,15,0,11,3,14
189,9396.5,1287,4,3.4,0,1,0,0,0,0,5,0,0,"25,999",1,60,0,1,0,"36,425",0,95,3.8,40,"2,625",20,18,0,16,2,18
